student_id,name,subject,score,date,attendance
1,Allison Hill,Science,33,2025-08-24,Absent
2,Noah Rhodes,History,47,2025-02-03,Present
3,Angie Henderson,Science,84,2025-07-07,Present
4,Daniel Wagner,Science,57,2024-10-16,Present
5,Cristian Santos,Math,55,2025-06-16,Absent
6,Connie Lawrence,Physics,65,2025-01-21,Present
7,Abigail Shaffer,Arabic,73,2024-12-21,Absent
8,Gina Moore,History,73,2024-12-19,Present
9,Gabrielle Davis,Arabic,42,2024-11-17,Absent
10,Ryan Munoz,Computer,35,2025-03-26,Absent
11,Monica Herrera,Science,78,2025-07-02,Present
12,Jamie Arnold,Computer,76,2025-07-10,Present
13,Lisa Hensley,Math,59,2024-11-05,Absent
14,Michele Williams,History,42,2024-11-10,Absent
15,Dylan Miller,Physics,76,2025-02-20,Present
16,Brian Ramirez,Geography,56,2025-04-08,Absent
17,Holly Wood,Science,51,2025-08-28,Present
18,Derek Zuniga,Physics,78,2024-12-23,Absent
19,Lisa Jackson,Chemistry,58,2025-08-24,Absent
20,Carla Gray,History,34,2024-10-29,Absent
21,Margaret Hawkins DDS,Computer,38,2025-04-24,Present
22,Patty Perez,Geography,57,2025-07-18,Absent
23,Ethan Adams,Physics,48,2025-04-21,Absent
24,Tommy Walter,History,98,2024-12-11,Absent
25,Matthew Foster,Arabic,81,2025-07-27,Absent
26,Judy Baker,English,95,2025-01-21,Absent
27,Justin Baker,Math,44,2024-11-16,Present
28,Stephanie Ross,English,84,2025-08-18,Present
29,Zachary Hicks,Arabic,89,2025-04-16,Absent
30,Anthony Rodriguez,Math,44,2025-07-11,Absent
31,Rebecca Henderson,Geography,44,2025-08-25,Absent
32,James Ferrell,English,88,2025-05-11,Present
33,Tricia Valencia,Chemistry,52,2025-02-12,Present
34,Nathan Maldonado,Computer,94,2025-08-17,Present
35,Debra Davidson,Geography,50,2024-12-18,Present
36,Jeffrey Chavez,Geography,92,2025-08-03,Present
37,Sherri Baker,Geography,69,2024-11-27,Present
38,Cassandra Gaines,History,40,2024-10-30,Present
39,Elizabeth Fowler,Science,98,2025-06-06,Present
40,Brittany Farmer,Physics,100,2024-12-05,Present
41,Paula Moreno,Chemistry,84,2025-02-13,Present
42,Fred Smith,History,69,2025-07-04,Absent
43,Sherry Decker,Geography,86,2025-08-29,Absent
44,Anthony Humphrey,History,58,2024-12-01,Present
45,Angelica Tucker,Math,100,2025-03-23,Present
46,Philip Cannon,History,30,2025-07-29,Present
47,John Pierce,Math,59,2025-08-20,Present
48,Shane Henderson,Geography,39,2024-10-17,Present
49,Joshua Blair,Physics,57,2025-02-20,Present
50,Eric Carney,Physics,61,2025-07-20,Absent
