student_id,name,subject,score,date,attendance
25001,Eric Holmes,Geography,33,2025-06-24,Absent
25002,Allison Gray,Chemistry,73,2024-10-21,Present
25003,Teresa Torres MD,Arabic,86,2025-05-22,Absent
25004,James Coleman,Arabic,39,2024-11-10,Present
25005,Brian Aguirre,Physics,86,2024-12-05,Absent
25006,Diana Salazar,History,85,2025-02-01,Present
25007,Shawn Ford,History,95,2025-08-09,Present
25008,David Montoya,Physics,100,2024-10-23,Present
25009,Michael Pratt,History,82,2025-06-20,Absent
25010,Emily Smith,Arabic,44,2025-08-06,Present
25011,Kevin Thompson,Physics,76,2024-10-05,Absent
25012,William Fitzgerald,History,50,2024-10-09,Present
25013,Jason Hines,Science,100,2025-02-16,Present
25014,Darren Soto,Computer,59,2025-07-05,Absent
25015,Jennifer Spence,Math,42,2025-08-15,Absent
25016,Nathan Chen,Math,61,2025-02-23,Absent
25017,Susan Peterson,English,61,2025-01-03,Absent
25018,Robert Lee,Science,70,2024-12-28,Absent
25019,Andrew Reese,Chemistry,34,2025-01-20,Present
25020,Julie Kelly,English,47,2025-05-22,Present
25021,Scott Leon,Geography,86,2025-05-04,Present
25022,Pamela Oconnor,Arabic,73,2025-02-23,Absent
25023,Sean Durham,English,49,2025-02-09,Absent
25024,Alexis Harrison,Computer,52,2024-11-01,Present
25025,Andrea Rojas,English,76,2025-06-04,Absent
25026,Stephanie Davis,Science,62,2024-10-19,Absent
25027,Brian Nichols,English,86,2024-11-20,Present
25028,Tonya Gibbs,Math,72,2025-01-29,Present
25029,Michelle Brown,English,85,2025-04-30,Present
25030,Kathryn Vasquez,Physics,40,2025-05-13,Present
25031,Jacob Bishop,History,96,2025-03-17,Present
25032,Janice Fletcher,Arabic,75,2025-07-18,Absent
25033,Vanessa Francis,Arabic,79,2025-08-26,Present
25034,Lauren Mcclure,English,68,2025-07-18,Present
25035,Kimberly Warren,Chemistry,36,2025-03-15,Absent
25036,Philip Stewart,Arabic,75,2025-02-01,Absent
25037,Rickey Sloan,Science,95,2024-11-10,Absent
25038,Jessica Young,Math,91,2025-02-10,Absent
25039,Travis Collier,Science,45,2025-08-10,Absent
25040,Kirk Matthews,History,33,2025-04-02,Present
25041,Thomas Bridges,Physics,54,2025-03-31,Absent
25042,Sergio Higgins,History,71,2025-02-26,Present
25043,Wesley Holloway,Physics,35,2025-08-27,Present
25044,Martin Hobbs MD,English,77,2025-08-18,Present
25045,Miguel Thomas,Geography,35,2025-08-24,Absent
25046,Brandon Brown,Science,30,2025-04-18,Present
25047,Carlos Hopkins,Geography,34,2025-05-10,Absent
25048,Matthew Miller,History,97,2025-08-20,Present
25049,Hannah Walker,Math,68,2025-03-27,Absent
25050,Kelly Williams,Science,97,2024-12-25,Absent
25051,Hannah Garrett,English,36,2024-11-29,Present
25052,Maria Roberts,Arabic,48,2025-08-25,Absent
25053,Christopher Trevino,History,56,2025-03-21,Absent
25054,Chelsea Wade,Arabic,67,2025-03-20,Present
25055,Mr. Steven Hernandez DDS,Computer,52,2025-05-09,Present
25056,Michael Collins,Geography,66,2025-05-17,Present
25057,Kristina Brown,Geography,51,2025-03-14,Present
25058,Debra Russell,History,46,2025-03-02,Absent
25059,Joel Jones,Geography,80,2024-11-12,Present
25060,Jessica Farmer,English,100,2025-05-21,Absent
25061,Dr. Nancy Obrien PhD,Math,33,2025-05-10,Absent
25062,Devin Hamilton,Chemistry,98,2025-01-21,Absent
25063,Holly Bennett,Science,100,2024-10-09,Present
25064,Jason Jacobs,Science,31,2025-03-19,Absent
25065,Evan Santiago,Science,56,2024-11-29,Present
25066,Dana Johnson,Geography,31,2025-02-23,Absent
25067,Michael Jones,Science,76,2024-11-27,Present
25068,Andrew Williams,Chemistry,48,2024-12-10,Absent
25069,Kristen Matthews,Geography,89,2025-06-16,Absent
25070,Ashley Foley,English,34,2024-10-05,Absent
25071,David Robinson,Geography,83,2024-11-29,Present
25072,Margaret Benjamin,English,95,2025-03-26,Absent
25073,Matthew Jones,Arabic,48,2025-08-26,Absent
25074,James Lee,Chemistry,39,2025-03-16,Present
25075,Eric Cruz,Arabic,82,2025-05-02,Present
25076,Alan Lee,Chemistry,34,2025-06-30,Present
25077,Gabrielle Edwards,Physics,49,2025-08-12,Absent
25078,Roy Cline,Geography,71,2025-04-07,Present
25079,Brandon Jackson,English,47,2024-11-18,Present
25080,Maria Reeves,Geography,81,2025-03-18,Present
25081,Paul Jones,Computer,63,2024-11-24,Present
25082,Tyler Torres,Geography,85,2025-02-15,Absent
25083,Tyler Dillon,Physics,71,2025-06-06,Absent
25084,Heather Hernandez,Arabic,44,2024-12-22,Absent
25085,Megan Gonzalez,English,48,2024-12-29,Absent
25086,Jill Bailey,Math,79,2024-11-24,Absent
25087,Wendy Gomez,Physics,70,2025-04-26,Absent
25088,John Alexander,Chemistry,61,2025-08-18,Present
25089,Mary Tran,Math,98,2024-11-10,Present
25090,Mrs. Margaret Melton,History,64,2024-12-24,Present
25091,Jodi Harris,History,79,2025-01-04,Absent
25092,Brittany Stewart,Geography,41,2025-08-23,Present
25093,Joseph Hayes,Arabic,71,2025-07-07,Present
25094,Amy Edwards,Arabic,30,2025-05-28,Present
25095,Paula Kelly,Computer,81,2025-05-31,Absent
25096,Amy Jones,History,37,2024-11-26,Present
25097,Kimberly Griffith,History,74,2024-10-13,Absent
