student_id,name,subject,score,date,attendance
1,Sami Adel,Math,5,2023-11-18,Absent
2,Khaled Zaki,English,89,2023-10-19,Absent
3,Fares Adel,Physics,38,2025-08-16,Absent
4,Mohamed Yassin,Physics,68,2025-01-17,Absent
5,Tarek Fouad,English,74,2025-05-24,Present
6,Ali Gamal,English,54,2025-03-16,Absent
7,Mostafa Fouad,English,63,2025-01-30,Absent
8,Mahmoud Nasser,Chemistry,9,2025-02-22,Absent
9,Tarek Zaki,Chemistry,19,2024-01-05,Absent
10,Fares Galal,Physics,73,2024-11-08,Present
11,Youssef Yassin,Math,35,2024-11-16,Present
12,Khaled Nasser,Math,47,2024-05-05,Present
13,Nabil Hamed,English,57,2024-05-08,Absent
14,Ali Saeed,Chemistry,46,2024-06-22,Present
15,Mohamed Yassin,Math,33,2025-07-18,Present
16,Mostafa Tarek,Chemistry,34,2025-02-09,Absent
17,Ali Salah,Math,33,2024-07-03,Present
18,Hassan Saeed,English,39,2023-10-29,Absent
19,Hassan Samir,Physics,28,2025-04-16,Present
20,Omar Farouk,Chemistry,57,2024-02-12,Present
21,Sami Farouk,English,15,2024-03-27,Present
22,Nabil Samir,Physics,99,2024-08-28,Present
23,Ibrahim Galal,Physics,45,2024-07-06,Present
24,Ahmed Tarek,Chemistry,88,2025-05-11,Absent
25,Ibrahim Adel,Chemistry,93,2024-01-04,Absent
26,Tarek Farouk,Physics,93,2025-02-28,Present
27,Nabil Yassin,Math,61,2024-02-24,Present
28,Mohamed Samir,English,81,2025-05-18,Absent
29,Karim Saeed,Math,75,2025-09-27,Present
30,Khaled Fouad,English,64,2025-05-28,Absent
31,Hassan Morsi,English,2,2024-12-29,Absent
32,Nabil Nasser,English,73,2025-09-07,Present
33,Tarek Gamal,Math,77,2023-12-11,Absent
34,Mahmoud Yassin,Math,40,2025-03-12,Absent
35,Hassan Morsi,Chemistry,30,2024-05-26,Present
36,Karim Yassin,Math,6,2024-03-01,Absent
37,Nabil Fouad,Physics,45,2024-08-29,Present
38,Youssef Gamal,Math,5,2025-06-06,Absent
39,Fares Gamal,English,8,2023-12-15,Absent
40,Youssef Samir,Math,64,2023-11-22,Present
41,Khaled Galal,Chemistry,71,2025-09-03,Absent
42,Omar Farouk,Math,39,2025-04-15,Present
43,Fares Fouad,English,68,2023-11-26,Present
44,Hassan Zaki,Chemistry,96,2024-08-24,Present
